id,client_id,lessons_count,paid,purchased_at,created_at
af795597-a25c-4920-b2a8-52c7f1600f9e,397a0b5c-8da1-46c6-ab6e-563cd019a004,10,true,2026-01-01,2026-06-23T18:05:58.588402+00:00
11b78ccb-ffba-4896-8381-7e54b1bb2029,f3384eb2-29d2-401d-a46b-68b50206ab4a,10,true,2026-01-01,2026-06-23T18:05:58.588402+00:00
b7ade26e-22cc-48af-a37d-7a9e13c4b7c9,17e07507-46d6-4367-a3bf-ccba9c8186c6,10,true,2026-01-01,2026-06-23T18:05:58.588402+00:00
0fff9d90-8f84-45c9-9881-bba0f376e69e,18f589e1-eda1-401f-b912-2e7d4c04bcd3,10,true,2026-01-01,2026-06-23T18:05:58.588402+00:00
ad7ee248-7cd3-4105-a9fe-de1604c6c89c,b0fa8680-98db-42ac-9f90-5db0c643517c,10,true,2026-01-01,2026-06-23T18:05:58.588402+00:00
557a00ba-6b04-480a-88f6-fe0592388ae0,7bb4908d-0895-4e37-adea-6ff096b7ac26,10,true,2026-01-04,2026-06-23T18:05:58.588402+00:00
fab498d8-91cc-4ee1-978c-8dfeac01c4e9,ca2628de-df8d-418c-9755-cabeaf2dee9e,10,true,2026-01-04,2026-06-23T18:05:58.588402+00:00
086f6870-82fb-4fb7-847b-d88b844db709,1190382c-762a-408d-97f7-845b94dd0da7,10,true,2026-01-04,2026-06-23T18:05:58.588402+00:00
9cd19fde-a40d-4be7-be43-99d2426abe64,f23a6006-b33a-42cf-9617-e14f4e86ec17,10,true,2026-01-04,2026-06-23T18:05:58.588402+00:00
f544ee47-b765-4940-a613-762c1da7e37b,94ea8693-9438-4f85-9d0d-ec219422f459,10,true,2026-01-04,2026-06-23T18:05:58.588402+00:00
3632266f-7943-4cfb-be47-f9823f64fdfa,ee6c5f4a-4d14-4f5b-a33b-642af9226ea1,10,true,2026-01-04,2026-06-23T18:05:58.588402+00:00
9696b9ce-0207-4751-94a8-df43b782871c,719bfaa7-5cbe-448e-8853-7325634aa4bc,10,true,2026-01-04,2026-06-23T18:05:58.588402+00:00
60a28d3d-ad88-478b-9493-0901157435f2,0598ee4b-6408-4aa1-81a5-2d24c6496dbc,10,true,2026-01-04,2026-06-23T18:05:58.588402+00:00
bc6fef3e-2618-4982-9a94-fccfa7e101a6,4152285e-c772-4916-a089-db67c8258211,10,true,2026-01-04,2026-06-23T18:05:58.588402+00:00
0ed91be8-c141-44b0-93b4-7e02c9684b31,b5903cc3-5194-48c4-a910-5144dd45b40d,10,true,2026-01-04,2026-06-23T18:05:58.588402+00:00
2dc81b62-9cb9-4333-b8bd-1e6a3720f7af,cabd581d-4ab9-46f7-974c-a850daadda78,10,true,2026-01-04,2026-06-23T18:05:58.588402+00:00
bc6cbba0-efb7-479f-82bb-99e523ee7363,e3a14a2a-b83d-4214-b1dd-3b85b3aa5673,10,true,2026-01-05,2026-06-23T18:05:58.588402+00:00
cb4c9f1f-a6cd-42d4-9870-5b1bd6c47aa7,6995156c-e98e-446e-b830-006cc7a2af46,10,true,2026-01-05,2026-06-23T18:05:58.588402+00:00
ad38e16d-99ec-4fde-b257-49d3effcef8a,395f0e1a-54ef-408c-a16d-76879c70a152,10,true,2026-01-05,2026-06-23T18:05:58.588402+00:00
6860d227-cc28-4ce4-b97f-988ccce0a0c4,5db78425-c629-42ea-bfae-3a3c6545e2cc,10,true,2026-01-05,2026-06-23T18:05:58.588402+00:00
25963320-713f-4e05-8bc0-0da2afc40a2b,fcd9cc40-9411-40f0-b3d3-60dc219673d1,10,true,2026-01-05,2026-06-23T18:05:58.588402+00:00
c1d602e4-bbec-4eb6-9b28-70cd6f998877,4d86178e-3b4d-42e5-b60a-b82de74fd9d7,10,true,2026-01-05,2026-06-23T18:05:58.588402+00:00
3c5d98bc-a8e4-4e35-9506-c292fefcfcd5,c17dc22a-e4fd-4267-b688-d74e17f1e81b,10,true,2026-01-05,2026-06-23T18:05:58.588402+00:00
115bffc1-97f1-4107-921d-c67546211afe,52d7a714-07fe-4e26-9730-0380f30a68fb,10,true,2026-01-05,2026-06-23T18:05:58.588402+00:00
a5e3efa3-8ab6-4ab6-b9b4-501abc8a7313,7174f2be-ac9d-4845-b4c3-61dd0e7b8e09,10,true,2026-01-05,2026-06-23T18:05:58.588402+00:00
0ff5b3d3-a9d2-43b2-8faa-0b81a0e80dd1,14700324-8494-4bb7-8848-ad676750b54b,10,true,2026-01-06,2026-06-23T18:05:58.588402+00:00
4e0563bf-dd15-4f8f-ab5f-ed833e5d59d0,e8f30cf6-364b-4d77-865d-441542781e85,10,true,2026-01-06,2026-06-23T18:05:58.588402+00:00
30b58c50-88a7-4626-bae9-617bfa21ea71,782dfa9c-3b2a-4160-9e80-88e5ac593c5e,10,true,2026-01-07,2026-06-23T18:05:58.588402+00:00
