id,client_id,date,created_at,reminder_sent_at
b88b7e7b-f988-4770-93ed-336efba31524,b14cf24e-9d3e-4d88-8ed9-527d80ef5946,2026-01-21,2026-07-19T14:01:43.697993+00:00,
c65df288-598e-4d2d-b9ce-ed740b23076f,b14cf24e-9d3e-4d88-8ed9-527d80ef5946,2026-02-03,2026-07-19T14:01:43.697993+00:00,
eff6a32b-cac3-450b-9bca-3f6be83b5118,b14cf24e-9d3e-4d88-8ed9-527d80ef5946,2026-02-11,2026-07-19T14:01:43.697993+00:00,
f095cc10-5dd6-453c-97f2-4bddb36338fc,b14cf24e-9d3e-4d88-8ed9-527d80ef5946,2026-02-17,2026-07-19T14:01:43.697993+00:00,
215aba30-ba33-4bfd-9a0d-b66e5abfbadc,b14cf24e-9d3e-4d88-8ed9-527d80ef5946,2026-03-17,2026-07-19T14:01:43.697993+00:00,
d3cabdaa-e1bb-453e-89a2-f99cc8bfb783,6015d8c1-a252-4aee-8825-503e276d71bc,2026-03-25,2026-07-19T14:01:39.968753+00:00,
2b87eafd-09a4-493e-9ad0-55cfdebd28c9,b14cf24e-9d3e-4d88-8ed9-527d80ef5946,2026-03-25,2026-07-19T14:01:43.697993+00:00,
8a5ac394-7968-4976-b8e3-21b6d2b9c187,c221ff76-7d3d-4e79-b52f-2e45a99e0f00,2026-04-12,2026-07-19T14:01:48.067513+00:00,
fea10bf1-736f-4d8a-a18f-45f537648754,4436580b-a413-493f-851b-b80b966d6fa8,2026-04-13,2026-07-19T14:01:47.441034+00:00,
1efd2212-ed84-451a-b4a0-aa21b08928f5,c221ff76-7d3d-4e79-b52f-2e45a99e0f00,2026-04-15,2026-07-19T14:01:48.067513+00:00,
802a2b14-9ef7-4a8d-8698-a0e70d4a7de5,b14cf24e-9d3e-4d88-8ed9-527d80ef5946,2026-04-15,2026-07-19T14:01:43.697993+00:00,
19abe15d-d473-40fb-8fb6-2ec4865de75c,6015d8c1-a252-4aee-8825-503e276d71bc,2026-04-15,2026-07-19T14:01:39.968753+00:00,
7c2e600d-c2ce-4e26-9729-a1a8e0285d46,c221ff76-7d3d-4e79-b52f-2e45a99e0f00,2026-04-19,2026-07-19T14:01:48.067513+00:00,
6a69d362-e5d9-4807-a26d-aa98307c6ff8,c221ff76-7d3d-4e79-b52f-2e45a99e0f00,2026-04-20,2026-07-19T14:01:48.067513+00:00,
8ab8b8a8-dc97-4557-838f-34e3d0edf0d5,6d2f17f9-bed5-4436-ab0a-56f130a11a59,2026-04-29,2026-07-19T14:11:14.734213+00:00,
50568fc5-1427-44c6-871a-d5c93b3e3663,c221ff76-7d3d-4e79-b52f-2e45a99e0f00,2026-05-03,2026-07-19T14:01:48.067513+00:00,
5a0fec59-bfd7-4e15-bb0e-67cceecd591d,4436580b-a413-493f-851b-b80b966d6fa8,2026-05-04,2026-07-19T14:01:47.441034+00:00,
a9b14856-d18a-4096-abdf-aff183d87cbd,c221ff76-7d3d-4e79-b52f-2e45a99e0f00,2026-05-06,2026-07-19T14:01:48.067513+00:00,
3a0b205e-e08b-4c64-a5f4-8bb8ca4be8cf,6d2f17f9-bed5-4436-ab0a-56f130a11a59,2026-05-06,2026-07-19T14:11:14.734213+00:00,
c2e3a0c6-bb35-447d-b592-fb08a40d8361,4436580b-a413-493f-851b-b80b966d6fa8,2026-05-11,2026-07-19T14:01:47.441034+00:00,
5362038f-afb7-4649-81bf-2a1649dabc9a,fcab141e-2130-462a-a46b-b11c7ee961e5,2026-05-11,2026-07-19T14:01:39.343132+00:00,
d69f8b74-98c9-4bcb-89f7-23335d4f1c16,bd99711d-abd0-42de-99ec-4227b6b0d681,2026-05-12,2026-07-19T14:01:46.823375+00:00,
76ecb984-23da-4d87-8a17-7090362c806e,6d2f17f9-bed5-4436-ab0a-56f130a11a59,2026-05-13,2026-07-19T14:11:14.734213+00:00,
ffc734ae-c8e6-475f-aac1-5b6dedce88f1,6cf8182d-b80b-4248-ae9e-238c0ac73548,2026-05-14,2026-07-19T14:11:10.090324+00:00,
415901e8-2984-451a-af74-991ae6fa22ed,fcab141e-2130-462a-a46b-b11c7ee961e5,2026-05-18,2026-07-19T14:01:39.343132+00:00,
66f7d5e9-f7a7-4cd6-8c8d-412fe27ea073,4436580b-a413-493f-851b-b80b966d6fa8,2026-05-18,2026-07-19T14:01:47.441034+00:00,
e7973993-f141-4839-af38-2b217f2ad561,6015d8c1-a252-4aee-8825-503e276d71bc,2026-05-20,2026-07-19T14:01:39.968753+00:00,
40ac0d89-cdc8-4a91-a6b4-501bff8de268,e04728c4-631c-4806-ac18-0466e74eec35,2026-05-20,2026-07-19T14:01:41.835309+00:00,
fdb81107-0636-47d0-9acb-aaa3c46e31dc,8f4f2e6f-372f-4893-b550-4a4c644e0783,2026-05-21,2026-07-19T14:01:40.596274+00:00,
00c69554-07b6-4d73-a836-47b8db68eb73,bd99711d-abd0-42de-99ec-4227b6b0d681,2026-05-26,2026-07-19T14:01:46.823375+00:00,
36e986da-4b61-4e3e-8b95-1a97b8870f1e,6d2f17f9-bed5-4436-ab0a-56f130a11a59,2026-05-27,2026-07-19T14:11:14.734213+00:00,
4e7858b2-bcb9-45bc-9cc6-672c63fce500,e04728c4-631c-4806-ac18-0466e74eec35,2026-05-27,2026-07-19T14:01:41.835309+00:00,
45e3c61b-0e4d-458a-b200-becac4cdb878,6015d8c1-a252-4aee-8825-503e276d71bc,2026-05-27,2026-07-19T14:01:39.968753+00:00,
383cd3f5-b177-4f8f-912e-0785b1ea970e,fcab141e-2130-462a-a46b-b11c7ee961e5,2026-05-27,2026-07-19T14:01:39.343132+00:00,
97eed4f5-0453-4d8d-9b16-503db319422d,6cf8182d-b80b-4248-ae9e-238c0ac73548,2026-05-28,2026-07-19T14:11:10.090324+00:00,
872f33f0-a37d-444e-862a-337d1b869de4,8f4f2e6f-372f-4893-b550-4a4c644e0783,2026-05-28,2026-07-19T14:01:40.596274+00:00,
72c2028a-2cd1-4cda-b982-eb83d296f902,b6af201d-8b20-4205-a6ac-46692b919c0f,2026-05-31,2026-07-19T14:11:16.887935+00:00,
3670fd57-b838-4545-a6ff-d28f2f6f4ebe,bd99711d-abd0-42de-99ec-4227b6b0d681,2026-06-02,2026-07-19T14:01:46.823375+00:00,
253d2522-c58d-4a31-bea2-2dabf664020b,6cf8182d-b80b-4248-ae9e-238c0ac73548,2026-06-02,2026-07-19T14:11:10.090324+00:00,
4778485a-af79-4926-ac12-397b89d6ca48,fcab141e-2130-462a-a46b-b11c7ee961e5,2026-06-03,2026-07-19T14:01:39.343132+00:00,
152350f6-4043-4f71-b74e-e5d292662cfd,37aeaa17-aae0-4b93-b427-c972b0a95917,2026-06-03,2026-07-19T14:01:34.33232+00:00,
